# Outbreak Information
#
# 200 102.68.77.106 255.255.255.255
#
# Tracking Information
#
00026 185.243.183.All
00003 171.14.40.All
00002 171.14.41.All
00002 104.27.182.All
00001 49.76.13.All
00001 49.76.13.248
00001 49.66.223.All
00001 49.66.223.59
00001 36.248.225.All
00001 36.248.225.135
00001 185.243.183.60
00001 185.243.183.59
00001 185.243.183.58
00001 185.243.183.57
00001 185.243.183.56
00001 185.243.183.55
00001 185.243.183.53
00001 185.243.183.52
00001 185.243.183.51
00001 185.243.183.50
00001 185.243.183.47
00001 185.243.183.46
00001 185.243.183.45
00001 185.243.183.44
00001 185.243.183.43
00001 185.243.183.42
00001 185.243.183.41
00001 185.243.183.35
00001 185.243.183.30
00001 185.243.183.25
00001 185.243.183.24
00001 185.243.183.22
00001 185.243.183.21
00001 185.243.183.20
00001 185.243.183.19
00001 185.243.183.18
00001 183.247.165.All
00001 183.247.165.222
00001 171.216.91.All
00001 171.216.91.27
00001 171.14.43.All
00001 171.14.43.31
00001 171.14.41.236
00001 171.14.41.151
00001 171.14.40.182
00001 171.14.40.161
00001 171.14.40.140
00001 152.207.201.All
00001 152.207.201.32
00001 104.28.15.All
00001 104.28.15.78
00001 104.27.182.97
00001 104.27.182.137
00001 104.24.127.All
00001 104.24.127.36
00001 104.18.46.All
00001 104.18.46.146
